https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1612033200000,2021-01-30 19:00:00,BTC/USDT,34381.33,34458.48,34058.14,34337.98,6476.163,222043316.39639,79883
1612029600000,2021-01-30 18:00:00,BTC/USDT,34295.99,34398.75,34143.73,34381.32,6367.792,218313874.61245,79251
1612026000000,2021-01-30 17:00:00,BTC/USDT,33986.08,34330.00,33971.98,34297.49,8236.259,281463235.75278,96545
1612022400000,2021-01-30 16:00:00,BTC/USDT,34242.34,34302.32,33550.32,33986.08,15233.051,515995790.56612,153527
1612018800000,2021-01-30 15:00:00,BTC/USDT,34269.88,34572.00,34094.45,34240.00,10204.761,350131138.24426,103767
1612015200000,2021-01-30 14:00:00,BTC/USDT,34275.75,34464.28,34027.30,34269.87,8911.829,304856726.06387,100697
1612011600000,2021-01-30 13:00:00,BTC/USDT,33786.51,34409.00,33700.00,34276.22,11071.499,376800133.47115,114271
1612008000000,2021-01-30 12:00:00,BTC/USDT,33707.77,33877.00,33505.00,33786.50,9286.331,312894619.69432,99292
1612004400000,2021-01-30 11:00:00,BTC/USDT,34327.53,34354.92,33540.00,33707.77,13438.219,456116303.89182,132754
1612000800000,2021-01-30 10:00:00,BTC/USDT,34284.01,34447.48,33897.61,34327.52,12160.956,415545754.99581,117978
1611997200000,2021-01-30 09:00:00,BTC/USDT,33919.04,34480.00,33845.00,34284.01,10616.903,363104115.12794,115476
1611993600000,2021-01-30 08:00:00,BTC/USDT,34076.55,34388.88,33803.80,33919.05,14779.856,504909284.53160,132975
1611990000000,2021-01-30 07:00:00,BTC/USDT,33837.98,34254.88,33423.00,34073.81,14441.889,488176789.82458,134450
1611986400000,2021-01-30 06:00:00,BTC/USDT,33533.80,33886.98,33164.53,33841.80,13383.884,447886111.21312,124869
1611982800000,2021-01-30 05:00:00,BTC/USDT,33532.65,34050.55,33205.00,33534.15,14070.814,473268935.34914,130472
1611979200000,2021-01-30 04:00:00,BTC/USDT,33300.00,33689.99,33154.93,33531.75,12243.315,409375960.95118,124749
1611975600000,2021-01-30 03:00:00,BTC/USDT,33895.85,34037.95,32849.06,33299.99,21502.896,717371417.08510,197396
1611972000000,2021-01-30 02:00:00,BTC/USDT,34147.57,34477.89,33700.35,33897.85,12978.818,442510753.08410,131729
1611968400000,2021-01-30 01:00:00,BTC/USDT,34275.29,34988.88,33967.58,34147.57,11835.688,407765963.61160,124610
